Word name	Part of speech	Definition
Betroth	v. t.	To nominate to a bishopric, in order to consecration.
Betrothal	n.	The act of betrothing, or the fact of being betrothed; a mutual promise, engagement, or contract for a future marriage between the persons betrothed; betrothment; affiance.
Betrothment	n.	The act of betrothing, or the state of being betrothed; betrothal.
Betrust	v. t.	To trust or intrust.
Betrustment	n.	The act of intrusting, or the thing intrusted.
Betso	n.	A small brass Venetian coin.
Better	a.	Having good qualities in a greater degree than another; as, a better man; a better physician; a better house; a better air.
Better	a.	Preferable in regard to rank, value, use, fitness, acceptableness, safety, or in any other respect.
Better	a.	Greater in amount; larger; more.
Better	a.	Improved in health; less affected with disease; as, the patient is better.
Better	a.	More advanced; more perfect; as, upon better acquaintance; a better knowledge of the subject.
Better	n.	Advantage, superiority, or victory; -- usually with of; as, to get the better of an enemy.
Better	n.	One who has a claim to precedence; a superior, as in merit, social standing, etc.; -- usually in the plural.
Better	compar.	In a superior or more excellent manner; with more skill and wisdom, courage, virtue, advantage, or success; as, Henry writes better than John; veterans fight better than recruits.
Better	compar.	More correctly or thoroughly.
Better	compar.	In a higher or greater degree; more; as, to love one better than another.
Better	compar.	More, in reference to value, distance, time, etc.; as, ten miles and better.
Bettered	imp. & p. p.	of Better
Bettering	p. pr. & vb. n.	of Better
Better	a.	To improve or ameliorate; to increase the good qualities of.
Better	a.	To improve the condition of, morally, physically, financially, socially, or otherwise.
Better	a.	To surpass in excellence; to exceed; to excel.
Better	a.	To give advantage to; to support; to advance the interest of.
Better	v. i.	To become better; to improve.
Better	n.	One who bets or lays a wager.
Betterment	n.	A making better; amendment; improvement.
Betterment	n.	An improvement of an estate which renders it better than mere repairing would do; -- generally used in the plural.
Bettermost	a.	Best.
Betterness	n.	The quality of being better or superior; superiority.
Betterness	n.	The difference by which fine gold or silver exceeds in fineness the standard.
Bettong	n.	A small, leaping Australian marsupial of the genus Bettongia; the jerboa kangaroo.
Bettor	n.	One who bets; a better.
Betty	n.	A short bar used by thieves to wrench doors open.
Betty	n.	A name of contempt given to a man who interferes with the duties of women in a household, or who occupies himself with womanish matters.
Betty	n.	A pear-shaped bottle covered round with straw, in which olive oil is sometimes brought from Italy; -- called by chemists a Florence flask.
Betulin	n.	A substance of a resinous nature, obtained from the outer bark of the common European birch (Betula alba), or from the tar prepared therefrom; -- called also birch camphor.
Betumbled	imp. & p. p.	of Betumble
Betumble	v. t.	To throw into disorder; to tumble.
Betutored	imp. & p. p.	of Betutor
Betutor	v. t.	To tutor; to instruct.
Between	prep.	In the space which separates; betwixt; as, New York is between Boston and Philadelphia.
Between	prep.	Used in expressing motion from one body or place to another; from one to another of two.
Between	prep.	Belonging in common to two; shared by both.
Between	prep.	Belonging to, or participated in by, two, and involving reciprocal action or affecting their mutual relation; as, opposition between science and religion.
Between	prep.	With relation to two, as involved in an act or attribute of which another is the agent or subject; as, to judge between or to choose between courses; to distinguish between you and me; to mediate between nations.
Between	prep.	In intermediate relation to, in respect to time, quantity, or degree; as, between nine and ten o'clock.
Between	n.	Intermediate time or space; interval.
Betwixt	prep.	In the space which separates; between.
Betwixt	prep.	From one to another of; mutually affecting.
Beurre	n.	A beurre (or buttery) pear, one with the meat soft and melting; -- used with a distinguishing word; as, Beurre d'Anjou; Beurre Clairgeau.
Bevel	n.	Any angle other than a right angle; the angle which one surface makes with another when they are not at right angles; the slant or inclination of such surface; as, to give a bevel to the edge of a table or a stone slab; the bevel of a piece of timber.
Bevel	n.	An instrument consisting of two rules or arms, jointed together at one end, and opening to any angle, for adjusting the surfaces of work to the same or a given inclination; -- called also a bevel square.
Bevel	a.	Having the slant of a bevel; slanting.
Bevel	a.	Hence: Morally distorted; not upright.
Beveled	imp. & p. p.	of Bevel
Bevelled		of Bevel
Beveling	p. pr. & vb. n.	of Bevel
Bevelling		of Bevel
Bevel	v. t.	To cut to a bevel angle; to slope the edge or surface of.
Bevel	v. i.	To deviate or incline from an angle of 90�, as a surface; to slant.
Beveled	a.	Alt. of Bevelled
Bevelled	a.	Formed to a bevel angle; sloping; as, the beveled edge of a table.
Bevelled	a.	Replaced by two planes inclining equally upon the adjacent planes, as an edge; having its edges replaced by sloping planes, as a cube or other solid.
Bevel gear		A kind of gear in which the two wheels working together lie in different planes, and have their teeth cut at right angles to the surfaces of two cones whose apices coincide with the point where the axes of the wheels would meet.
Bevelment	n.	The replacement of an edge by two similar planes, equally inclined to the including faces or adjacent planes.
Bever	n.	A light repast between meals; a lunch.
Bevered	imp. & p. p.	of Bever
Bever	v. i.	To take a light repast between meals.
Beverage	v. t.	Liquid for drinking; drink; -- usually applied to drink artificially prepared and of an agreeable flavor; as, an intoxicating beverage.
Beverage	v. t.	Specifically, a name applied to various kinds of drink.
Beverage	v. t.	A treat, or drink money.
Bevile	n.	A chief broken or opening like a carpenter's bevel.
Beviled	a.	Alt. of Bevilled
Bevilled	a.	Notched with an angle like that inclosed by a carpenter's bevel; -- said of a partition line of a shield.
Bevies	pl.	of Bevy
Bevy	n.	A company; an assembly or collection of persons, especially of ladies.
Bevy	n.	A flock of birds, especially quails or larks; also, a herd of roes.
Bewailed	imp. & p. p.	of Bewail
Bewailing	p. pr. & vb. n.	of Bewail
Bewail	v. t.	To express deep sorrow for, as by wailing; to lament; to wail over.
Bewail	v. i.	To express grief; to lament.
Bewailable	a.	Such as may, or ought to, be bewailed; lamentable.
Bewailer	n.	One who bewails or laments.
Bewailing	a.	Wailing over; lamenting.
Bewailment	n.	The act of bewailing.
Bewake	v. t. & i.	To keep watch over; to keep awake.
Beware	v. i.	To be on one's guard; to be cautious; to take care; -- commonly followed by of or lest before the thing that is to be avoided.
Beware	v. i.	To have a special regard; to heed.
Beware	v. t.	To avoid; to take care of; to have a care for.
Bewash	v. t.	To drench or souse with water.
Bewept	imp. & p. p.	of Beweep
Beweeping	p. pr. & vb. n.	of Beweep
Beweep	v. t.	To weep over; to deplore; to bedew with tears.
Beweep	v. i.	To weep.
Bewet	imp. & p. p.	of Bewet
Bewetted		of Bewet
Bewet	v. t.	To wet or moisten.
Bewhore	v. t.	To corrupt with regard to chastity; to make a whore of.
Bewhore	v. t.	To pronounce or characterize as a whore.
Bewigged	imp. & p. p.	of Bewig
Bewig	v. t.	To cover (the head) with a wig.
Bewildered	imp. & p. p.	of Bewilder
Bewildering	p. pr. & vb. n.	of Bewilder
Bewilder	v. t.	To lead into perplexity or confusion, as for want of a plain path; to perplex with mazes; or in general, to perplex or confuse greatly.
Bewildered	a.	Greatly perplexed; as, a bewildered mind.
Bewilderedness	n.	The state of being bewildered; bewilderment.
Bewildering	a.	Causing bewilderment or great perplexity; as, bewildering difficulties.
Bewilderment	n.	The state of being bewildered.
Bewilderment	n.	A bewildering tangle or confusion.
Bewinter	v. t.	To make wintry.
Bewit	n.	A double slip of leather by which bells are fastened to a hawk's legs.
Bewitched	imp. & p. p.	of Bewitch
Bewitching	p. pr. & vb. n.	of Bewitch
Bewitch	v. t.	To gain an ascendency over by charms or incantations; to affect (esp. to injure) by witchcraft or sorcery.
Bewitch	v. t.	To charm; to fascinate; to please to such a degree as to take away the power of resistance; to enchant.
Bewitchedness	n.	The state of being bewitched.
Bewitcher	n.	One who bewitches.
Bewitchery	n.	The power of bewitching or fascinating; bewitchment; charm; fascination.
Bewitching	a.	Having power to bewitch or fascinate; enchanting; captivating; charming.
Bewitchment	n.	The act of bewitching, or the state of being bewitched.
Bewitchment	n.	The power of bewitching or charming.
Bewondered	imp. & p. p.	of Bewonder
Bewonder	v. t.	To fill with wonder.
Bewonder	v. t.	To wonder at; to admire.
Bewrapped	imp. & p. p.	of Bewrap
Bewrap	v. t.	To wrap up; to cover.
Bewray	v. t.	To soil. See Beray.
Bewrayed	imp. & p. p.	of Bewray
Bewraying	p. pr. & vb. n.	of Bewray
Bewray	v. t.	To expose; to reveal; to disclose; to betray.
Bewrayer	n.	One who, or that which, bewrays; a revealer.
Bewrayment	n.	Betrayal.
Bewreck	v. t.	To wreck.
Bewreke	v. t.	To wreak; to avenge.
Bewrought	a.	Embroidered.
Bey	n.	A governor of a province or district in the Turkish dominions; also, in some places, a prince or nobleman; a beg; as, the bey of Tunis.
Beylic	n.	The territory ruled by a bey.
Beyond	prep.	On the further side of; in the same direction as, and further on or away than.
Beyond	prep.	At a place or time not yet reached; before.
Beyond	prep.	Past, out of the reach or sphere of; further than; greater than; as, the patient was beyond medical aid; beyond one's strength.
Beyond	prep.	In a degree or amount exceeding or surpassing; proceeding to a greater degree than; above, as in dignity, excellence, or quality of any kind.
Beyond	adv.	Further away; at a distance; yonder.
Bezant	n.	A gold coin of Byzantium or Constantinople, varying in weight and value, usually (those current in England) between a sovereign and a half sovereign. There were also white or silver bezants.
Bezant	n.	A circle in or, i. e., gold, representing the gold coin called bezant.
Bezant	n.	A decoration of a flat surface, as of a band or belt, representing circular disks lapping one upon another.
Bez-antler	n.	The second branch of a stag's horn.
Bezel	n.	The rim which encompasses and fastens a jewel or other object, as the crystal of a watch, in the cavity in which it is set.
Bezique	n.	A game at cards in which various combinations of cards in the hand, when declared, score points.
Bezoar	n.	A calculous concretion found in the intestines of certain ruminant animals (as the wild goat, the gazelle, and the Peruvian llama) formerly regarded as an unfailing antidote for poison, and a certain remedy for eruptive, pestilential, or putrid diseases. Hence: Any antidote or panacea.
Bezoardic	a.	Pertaining to, or compounded with, bezoar.
Bezoardic	n.	A medicine containing bezoar.
Bezoartic	a.	Alt. of Bezoartical
Bezoartical	a.	Having the qualities of an antidote, or of bezoar; healing.
Bezonian	n.	A low fellow or scoundrel; a beggar.
Bezzled	imp. & p. p.	of Bezzle
Bezzling	p. pr. & vb. n.	of Bezzle
Bezzle	v. t.	To plunder; to waste in riot.
Bezzle	v. i.	To drink to excess; to revel.
Bhang	n.	An astringent and narcotic drug made from the dried leaves and seed capsules of wild hemp (Cannabis Indica), and chewed or smoked in the East as a means of intoxication. See Hasheesh.
Bhunder	n.	An Indian monkey (Macacus Rhesus), protected by the Hindoos as sacred. See Rhesus.
Bi-		In most branches of science bi- in composition denotes two, twice, or doubly; as, bidentate, two-toothed; biternate, doubly ternate, etc.
Bi-		In the composition of chemical names bi- denotes two atoms, parts, or equivalents of that constituent to the name of which it is prefixed, to one of the other component, or that such constituent is present in double the ordinary proportion; as, bichromate, bisulphide. Be- and di- are often used interchangeably.
Biacid	a.	Having two hydrogen atoms which can be replaced by negative atoms or radicals to form salts; -- said of bases. See Diacid.
Biacuminate	a.	Having points in two directions.
Biangular	a.	Having two angles or corners.
Biangulate	a.	Alt. of Biangulated
Biangulated	a.	Biangular.
Biangulous	a.	Biangular.
Biantheriferous	a.	Having two anthers.
Biarticulate	a.	Having, or consisting of, tow joints.
Biases	pl.	of Bias
Bias	n.	A weight on the side of the ball used in the game of bowls, or a tendency imparted to the ball, which turns it from a straight line.
Bias	n.	A leaning of the mind; propensity or prepossession toward an object or view, not leaving the mind indifferent; bent; inclination.
Bias	n.	A wedge-shaped piece of cloth taken out of a garment (as the waist of a dress) to diminish its circumference.
Bias	n.	A slant; a diagonal; as, to cut cloth on the bias.
Bias	a.	Inclined to one side; swelled on one side.
Bias	a.	Cut slanting or diagonally, as cloth.
Bias	adv.	In a slanting manner; crosswise; obliquely; diagonally; as, to cut cloth bias.
Biased	imp. & p. p.	of Bias
Biasing	p. pr. & vb. n.	of Bias
Bias	v. t.	To incline to one side; to give a particular direction to; to influence; to prejudice; to prepossess.
Biauriculate	a.	Having two auricles, as the heart of mammals, birds, and reptiles.
Biauriculate	a.	Having two earlike projections at its base, as a leaf.
Biaxal	a.	Alt. of Biaxial
Biaxial	a.	Having two axes; as, biaxial polarization.
Bib	n.	A small piece of cloth worn by children over the breast, to protect the clothes.
Bib	n.	An arctic fish (Gadus luscus), allied to the cod; -- called also pout and whiting pout.
Bib	n.	A bibcock.
Bib	v. t.	Alt. of Bibbe
Bibbe	v. t.	To drink; to tipple.
Bib	v. i.	To drink; to sip; to tipple.
Bibacious	a.	Addicted to drinking.
Bibacity	n.	The practice or habit of drinking too much; tippling.
Bibasic	a.	Having to hydrogen atoms which can be replaced by positive or basic atoms or radicals to form salts; -- said of acids. See Dibasic.
Bibb	n.	A bibcock. See Bib, n., 3.
Bibber	n.	One given to drinking alcoholic beverages too freely; a tippler; -- chiefly used in composition; as, winebibber.
Bibble-babble	n.	Idle talk; babble.
Bibbs	n. pl.	Pieces of timber bolted to certain parts of a mast to support the trestletrees.
Bibcock	n.	A cock or faucet having a bent down nozzle.
Bibirine	n.	See Bebeerine.
Bibitory	a.	Of or pertaining to drinking or tippling.
Bible	n.	A book.
Bible	n.	The Book by way of eminence, -- that is, the book which is made up of the writings accepted by Christians as of divine origin and authority, whether such writings be in the original language, or translated; the Scriptures of the Old and New Testaments; -- sometimes in a restricted sense, the Old Testament; as, King James's Bible; Douay Bible; Luther's Bible. Also, the book which is made up of writings similarly accepted by the Jews; as, a rabbinical Bible.
Bible	n.	A book containing the sacred writings belonging to any religion; as, the Koran is often called the Mohammedan Bible.
Bible	n.	A book with an authoritative exposition of some topic, respected by many who are experts in the field.
Bibler	v. t.	A great drinker; a tippler.
Biblical	a.	Pertaining to, or derived from, the Bible; as, biblical learning; biblical authority.
Biblicality	n.	The quality of being biblical; a biblical subject.
Biblically	adv.	According to the Bible.
Biblicism	n.	Learning or literature relating to the Bible.
Biblicist	n.	One skilled in the knowledge of the Bible; a demonstrator of religious truth by the Scriptures.
Bibliograph	n.	Bibliographer.
Bibliographer	n.	One who writes, or is versed in, bibliography.
Bibliographic	a.	Alt. of Bibliographical
Bibliographical	a.	Pertaining to bibliography, or the history of books.
Bibliographies	pl.	of Bibliography
Bibliography	n.	A history or description of books and manuscripts, with notices of the different editions, the times when they were printed, etc.
Bibliolater	n.	Alt. of Bibliolatrist
Bibliolatrist	n.	A worshiper of books; especially, a worshiper of the Bible; a believer in its verbal inspiration.
Bibliolatry	n.	Book worship, esp. of the Bible; -- applied by Roman Catholic divines to the exaltation of the authority of the Bible over that of the pope or the church, and by Protestants to an excessive regard to the letter of the Scriptures.
Bibliological	a.	Relating to bibliology.
Bibliology	n.	An account of books; book lore; bibliography.
Bibliology	n.	The literature or doctrine of the Bible.
Bibliomancy	n.	A kind of divination, performed by selecting passages of Scripture at hazard, and drawing from them indications concerning future events.
Bibliomania	n.	A mania for acquiring books.
Bibliomaniac	n.	One who has a mania for books.
Bibliomaniac	a.	Relating to a bibliomaniac.
Bibliomaniacal	a.	Pertaining to a passion for books; relating to a bibliomaniac.
Bibliopegic	a.	Relating to the binding of books.
Bibliopegist	n.	A bookbinder.
Bibliopegistic	a.	Pertaining to the art of binding books.
Bibliopegy	n.	The art of binding books.
Bibliophile	n.	A lover of books.
Bibliophilism	n.	Love of books.
Bibliophilist	n.	A lover of books.
Bibliophobia	n.	A dread of books.
Bibliopole	n.	One who sells books.
Bibliopolic	a.	Alt. of Bibliopolar
Bibliopolar	a.	Of or pertaining to the sale of books.
Bibliopolism	n.	The trade or business of selling books.
Bibliopolist	n.	Same as Bibliopole.
Bibliopolistic	a.	Of or pertaining to bibliopolism.
Bibliotaph	n.	Alt. of Bibliotaphist
Bibliotaphist	n.	One who hides away books, as in a tomb.
Bibliothec	n.	A librarian.
Bibliotheca	n.	A library.
Bibliothecal	a.	Belonging to a library.
Bibliothecary	n.	A librarian.
Bibliotheke	n.	A library.
Biblist	n.	One who makes the Bible the sole rule of faith.
Biblist	n.	A biblical scholar; a biblicist.
Bibracteate	a.	Furnished with, or having, two bracts.
Bibulous	v. t.	Readily imbibing fluids or moisture; spongy; as, bibulous blotting paper.
Bibulous	v. t.	Inclined to drink; addicted to tippling.
Bibulously	adv.	In a bibulous manner; with profuse imbibition or absorption.
Bicalcarate	a.	Having two spurs, as the wing or leg of a bird.
Bicallose	a.	Alt. of Bicallous
Bicallous	a.	Having two callosities or hard spots.
Bicameral	a.	Consisting of, or including, two chambers, or legislative branches.
Bicapsular	a.	Having two capsules; as, a bicapsular pericarp.
Bicarbonate	n.	A carbonate in which but half the hydrogen of the acid is replaced by a positive element or radical, thus making the proportion of the acid to the positive or basic portion twice what it is in the normal carbonates; an acid carbonate; -- sometimes called supercarbonate.
Bicarbureted	a.	Alt. of -retted
-retted	a.	Containing two atoms or equivalents of carbon in the molecule.
Bicarinate	a.	Having two keel-like projections, as the upper palea of grasses.
Bicaudal	a.	Having, or terminating in, two tails.
Bicaudate	a.	Two-tailed; bicaudal.
Bicched	a.	Pecked; pitted; notched.
Bice	n.	Alt. of Bise
Bise	n.	A pale blue pigment, prepared from the native blue carbonate of copper, or from smalt; -- called also blue bice.
Bicentenary	a.	Of or pertaining to two hundred, esp. to two hundred years; as, a bicentenary celebration.
Bicentenary	n.	The two hundredth anniversary, or its celebration.
Bicentennial	a.	Consisting of two hundred years.
Bicentennial	a.	Occurring every two hundred years.
Bicentennial	n.	The two hundredth year or anniversary, or its celebration.
Bicephalous	a.	Having two heads.
Biceps	n.	A muscle having two heads or origins; -- applied particularly to a flexor in the arm, and to another in the thigh.
Bichir	n.	A remarkable ganoid fish (Polypterus bichir) found in the Nile and other African rivers. See Brachioganoidei.
Bichloride	n.	A compound consisting of two atoms of chlorine with one or more atoms of another element; -- called also dichloride.
Bicho	n.	See Jigger.
Bichromate	n.	A salt containing two parts of chromic acid to one of the other ingredients; as, potassium bichromate; -- called also dichromate.
Bichromatize	v. t.	To combine or treat with a bichromate, esp. with bichromate of potassium; as, bichromatized gelatine.
Bicipital	a.	Having two heads or origins, as a muscle.
Bicipital	a.	Pertaining to a biceps muscle; as, bicipital furrows, the depressions on either side of the biceps of the arm.
Bicipital	a.	Dividing into two parts at one extremity; having two heads or two supports; as, a bicipital tree.
Bicipitous	a.	Having two heads; bicipital.
Bicker	n.	A small wooden vessel made of staves and hoops, like a tub.
Bickered	imp. & p. p.	of Bicker
Bickering	p. pr. & vb. n.	of Bicker
Bicker	v. i.	To skirmish; to exchange blows; to fight.
Bicker	v. i.	To contend in petulant altercation; to wrangle.
Bicker	v. i.	To move quickly and unsteadily, or with a pattering noise; to quiver; to be tremulous, like flame.
Bicker	n.	A skirmish; an encounter.
Bicker	n.	A fight with stones between two parties of boys.
Bicker	n.	A wrangle; also, a noise,, as in angry contention.
Bickerer	n.	One who bickers.
Bickering	n.	A skirmishing.
Bickering	n.	Altercation; wrangling.
Bickerment	n.	Contention.
Bickern	n.	An anvil ending in a beak or point (orig. in two beaks); also, the beak or horn itself.
Bicolligate	v. t.	Having the anterior toes connected by a basal web.
Bicolor	a.	Alt. of Bicolored
Bicolored	a.	Of two colors.
Biconcave	a.	Concave on both sides; as, biconcave vertebrae.
Biconjugate	a.	Twice paired, as when a petiole forks twice.
Biconvex	a.	Convex on both sides; as, a biconvex lens.
Bicorn	a.	Alt. of Bicornous
Bicorned	a.	Alt. of Bicornous
Bicornous	a.	Having two horns; two-horned; crescentlike.
Bicorporal	a.	Having two bodies.
Bicorporate	a.	Double-bodied, as a lion having one head and two bodies.
Bicostate	a.	Having two principal ribs running longitudinally, as a leaf.
Bicrenate	a.	Twice crenated, as in the case of leaves whose crenatures are themselves crenate.
Bicrescentic	a.	Having the form of a double crescent.
Bicrural	a.	Having two legs.
Bicuspid	a.	Alt. of Bicuspidate
Bicuspidate	a.	Having two points or prominences; ending in two points; -- said of teeth, leaves, fruit, etc.
Bicuspid	n.	One of the two double-pointed teeth which intervene between the canines (cuspids) and the molars, on each side of each jaw. See Tooth, n.
Bicyanide	n.	See Dicyanide.
Bicycle	n.	A light vehicle having two wheels one behind the other. It has a saddle seat and is propelled by the rider's feet acting on cranks or levers.
Bicycler	n.	One who rides a bicycle.
Bicyclic	a.	Relating to bicycles.
Bicycling	n.	The use of a bicycle; the act or practice of riding a bicycle.
Bicyclism	n.	The art of riding a bicycle.
Bicyclist	n.	A bicycler.
Bicycular	a.	Relating to bicycling.
Bade	imp.	of Bid
Bid		of Bid
Bad		of Bid
Bidden	p. p.	of Bid
Bid		of Bid
Bidding	p. pr. & vb. n.	of Bid
Bid	v. t.	To make an offer of; to propose. Specifically : To offer to pay ( a certain price, as for a thing put up at auction), or to take (a certain price, as for work to be done under a contract).
Bid	v. t.	To offer in words; to declare, as a wish, a greeting, a threat, or defiance, etc.; as, to bid one welcome; to bid good morning, farewell, etc.
Bid	v. t.	To proclaim; to declare publicly; to make known.
Bid	v. t.	To order; to direct; to enjoin; to command.
Bid	v. t.	To invite; to call in; to request to come.
Bid		imp. & p. p. of Bid.
Bid	n.	An offer of a price, especially at auctions; a statement of a sum which one will give for something to be received, or will take for something to be done or furnished; that which is offered.
Bid	v. t.	To pray.
Bid	v. t.	To make a bid; to state what one will pay or take.
Bidale	n.	An invitation of friends to drink ale at some poor man's house, and there to contribute in charity for his relief.
Biddable	a.	Obedient; docile.
Bidden		p. p. of Bid.
Bidder	n.	One who bids or offers a price.
Biddery ware		A kind of metallic ware made in India. The material is a composition of zinc, tin, and lead, in which ornaments of gold and silver are inlaid or damascened.
Bidding	n.	Command; order; a proclamation or notifying.
Bidding	n.	The act or process of making bids; an offer; a proposal of a price, as at an auction.
Bidding prayer		The prayer for the souls of benefactors, said before the sermon.
Bidding prayer		The prayer before the sermon, with petitions for various specified classes of persons.
Biddy	n.	A name used in calling a hen or chicken.
Biddy	n.	An Irish serving woman or girl.
Bided	imp. & p. p.	of Bide
Biding	p. pr. & vb. n.	of Bide
Bide	v. t.	To dwell; to inhabit; to abide; to stay.
Bide	v. t.	To remain; to continue or be permanent in a place or state; to continue to be.
Bide	v. t.	To encounter; to remain firm under (a hardship); to endure; to suffer; to undergo.
Bide	v. t.	To wait for; as, I bide my time. See Abide.
Bident	n.	An instrument or weapon with two prongs.
Bidental	a.	Having two teeth.
Bidentate	a.	Having two teeth or two toothlike processes; two-toothed.
Bidet	n.	A small horse formerly allowed to each trooper or dragoon for carrying his baggage.
Bidet	n.	A kind of bath tub for sitting baths; a sitz bath.
Bidigitate	a.	Having two fingers or fingerlike projections.
Biding	n.	Residence; habitation.
Bield	n.	A shelter. Same as Beild.
Bield	v. t.	To shelter.
Biennial	a.	Happening, or taking place, once in two years; as, a biennial election.
Biennial	a.	Continuing for two years, and then perishing, as plants which form roots and leaves the first year, and produce fruit the second.
Biennial	n.	Something which takes place or appears once in two years; esp. a biennial examination.
Biennial	n.	A plant which exists or lasts for two years.
Biennially	adv.	Once in two years.
Bier	n.	A handbarrow or portable frame on which a corpse is placed or borne to the grave.
Bier	n.	A count of forty threads in the warp or chain of woolen cloth.
Bierbalk	n.	A church road (e. g., a path across fields) for funerals.
Biestings	n. pl.	Alt. of Beestings
Beestings	n. pl.	The first milk given by a cow after calving.
Bifacial	a.	Having the opposite surfaces alike.
Bifarious	a.	Twofold; arranged in two rows.
Bifarious	a.	Pointing two ways, as leaves that grow only on opposite sides of a branch; in two vertical rows.
Bifariously	adv.	In a bifarious manner.
Biferous	a.	Bearing fruit twice a year.
Biffin	n.	A sort of apple peculiar to Norfolk, Eng.
Biffin	n.	A baked apple pressed down into a flat, round cake; a dried apple.
Bifid	a.	Cleft to the middle or slightly beyond the middle; opening with a cleft; divided by a linear sinus, with straight margins.
Bifidate	a.	See Bifid.
Bifilar	a.	Two-threaded; involving the use of two threads; as, bifilar suspension; a bifilar balance.
Biflabellate	a.	Flabellate on both sides.
Biflagellate	a.	Having two long, narrow, whiplike appendages.
Biflorate	a.	Alt. of Biflorous
Biflorous	a.	Bearing two flowers; two-flowered.
Bifold	a.	Twofold; double; of two kinds, degrees, etc.
Bifoliate	a.	Having two leaves; two-leaved.
Bifoliolate	a.	Having two leaflets, as some compound leaves.
Biforate	a.	Having two perforations.
Biforine	n.	An oval sac or cell, found in the leaves of certain plants of the order Araceae. It has an opening at each end through which raphides, generated inside, are discharged.
Biforked	a.	Bifurcate.
Biform	a.	Having two forms, bodies, or shapes.
Biformed	a.	Having two forms.
Biformity	n.	A double form.
Biforn	prep. & adv.	Before.
Biforous	a.	See Biforate.
Bifronted	a.	Having two fronts.
Bifurcate	a.	Alt. of Bifurcated
Bifurcated	a.	Two-pronged; forked.
Bifurcate	v. i.	To divide into two branches.
Bifurcation	n.	A forking, or division into two branches.
Bifurcous	a.	See Bifurcate, a.
Big	superl.	Having largeness of size; of much bulk or magnitude; of great size; large.
Big	superl.	Great with young; pregnant; swelling; ready to give birth or produce; -- often figuratively.
Big	superl.	Having greatness, fullness, importance, inflation, distention, etc., whether in a good or a bad sense; as, a big heart; a big voice; big looks; to look big. As applied to looks, it indicates haughtiness or pride.
Big	n.	Alt. of Bigg
Bigg	n.	Barley, especially the hardy four-rowed kind.
Big	v. t.	Alt. of Bigg
Bigg	v. t.	To build.
Biga	n.	A two-horse chariot.
Bigam	n.	A bigamist.
Bigamist	n.	One who is guilty of bigamy.
Bigamous	a.	Guilty of bigamy; involving bigamy; as, a bigamous marriage.
Bigamy	n.	The offense of marrying one person when already legally married to another.
Bigarreau	n.	Alt. of Bigaroon
Bigaroon	n.	The large white-heart cherry.
Big-bellied	a.	Having a great belly; as, a big-bellied man or flagon; advanced in pregnancy.
Bigeminate	a.	Having a forked petiole, and a pair of leaflets at the end of each division; biconjugate; twice paired; -- said of a decompound leaf.
Bigential	a.	Including two tribes or races of men.
Bigeye	n.	A fish of the genus Priacanthus, remarkable for the large size of the eye.
Bigg	n. & v.	See Big, n. & v.
Biggen	v. t. & i.	To make or become big; to enlarge.
Bigger	a.	compar. of Big.
Biggest	a.	superl. of Big.
Biggin	n.	A child's cap; a hood, or something worn on the head.
Biggin	n.	A coffeepot with a strainer or perforated metallic vessel for holding the ground coffee, through which boiling water is poured; -- so called from Mr. Biggin, the inventor.
Biggin	v. t.	Alt. of Bigging
Bigging	v. t.	A building.
Biggon	n.	Alt. of Biggonnet
Biggonnet	n.	A cap or hood with pieces covering the ears.
Bigha	n.	A measure of land in India, varying from a third of an acre to an acre.
Bighorn	n.	The Rocky Mountain sheep (Ovis / Caprovis montana).
Bight	v.	A corner, bend, or angle; a hollow; as, the bight of a horse's knee; the bight of an elbow.
Bight	v.	A bend in a coast forming an open bay; as, the Bight of Benin.
Bight	v.	The double part of a rope when folded, in distinction from the ends; that is, a round, bend, or coil not including the ends; a loop.
Biglandular	a.	Having two glands, as a plant.
Bigly	a.	In a tumid, swelling, blustering manner; haughtily; violently.
Bigness	n.	The state or quality of being big; largeness; size; bulk.
Bignonia	n.	A large genus of American, mostly tropical, climbing shrubs, having compound leaves and showy somewhat tubular flowers. B. capreolata is the cross vine of the Southern United States. The trumpet creeper was formerly considered to be of this genus.
Bignoniaceous	a.	Of pertaining to, or resembling, the family of plants of which the trumpet flower is an example.
Bigot	n.	A hypocrite; esp., a superstitious hypocrite.
Bigot	n.	A person who regards his own faith and views in matters of religion as unquestionably right, and any belief or opinion opposed to or differing from them as unreasonable or wicked. In an extended sense, a person who is intolerant of opinions which conflict with his own, as in politics or morals; one obstinately and blindly devoted to his own church, party, belief, or opinion.
Bigot	a.	Bigoted.
Bigoted	a.	Obstinately and blindly attached to some creed, opinion practice, or ritual; unreasonably devoted to a system or party, and illiberal toward the opinions of others.
Bigotedly	adv.	In the manner of a bigot.
Bigotry	n.	The state of mind of a bigot; obstinate and unreasoning attachment of one's own belief and opinions, with narrow-minded intolerance of beliefs opposed to them.
Bigotry	n.	The practice or tenets of a bigot.
Bigwig	a.	A person of consequence; as, the bigwigs of society.
Big-wigged	a.	characterized by pomposity of manner.
Bihydroguret	n.	A compound of two atoms of hydrogen with some other substance.
Bijoux	pl.	of Bijou
Bijou	n.	A trinket; a jewel; -- a word applied to anything small and of elegant workmanship.
Bijoutry	n.	Small articles of virtu, as jewelry, trinkets, etc.
Bijugate	a.	Having two pairs, as of leaflets.
Bijugous	a.	Bijugate.
Bike	n.	A nest of wild bees, wasps, or ants; a swarm.
